Subject,SentOn,ReceivedTime,Customer,Room,Model,Axeda S/N,Date,State,Date_JST
"TW ConnectionStatusDetection : **MMS** St. Tammany Parish SVG4 SMS20190049: SVG4","2024-05-17 00:55:42","2024-05-17 00:55:46.846000","**MMS** St. Tammany Parish SVG4","SMS20190049: SVG4","DR-300","SNB91F53196C49","2024-05-16 09:55:40.257 UTC-06:00","true","2024-05-17 00:55:40.257000"
"TW ConnectionStatusDetection : **MMS** St. Tammany Parish SVG4 SMS20190049: SVG4","2024-05-17 00:52:40","2024-05-17 00:52:44.974000","**MMS** St. Tammany Parish SVG4","SMS20190049: SVG4","DR-300","SNB91F53196C49","2024-05-16 09:52:37.167 UTC-06:00","false","2024-05-17 00:52:37.167000"
"TW ConnectionStatusDetection : **CMS** Henry County Medical Center SVG4 SMS20200290: SVG4","2024-05-16 14:17:59","2024-05-16 14:18:02.793000","**CMS** Henry County Medical Center SVG4","SMS20200290: SVG4","DR-300","SNEB1F53196C49","2024-05-15 23:17:57.167 UTC-06:00","true","2024-05-16 14:17:57.167000"
"TW ConnectionStatusDetection : **CMS** Henry County Medical Center SVG4 SMS20200290: SVG4","2024-05-16 14:17:39","2024-05-16 14:17:42.306000","**CMS** Henry County Medical Center SVG4","SMS20200290: SVG4","DR-300","SNEB1F53196C49","2024-05-15 23:17:37.174 UTC-06:00","false","2024-05-16 14:17:37.174000"
"TW ConnectionStatusDetection : **CMS** Henry County Medical Center SVG4 SMS20200290: SVG4","2024-05-18 10:07:39","2024-05-18 10:07:44.945000","**CMS** Henry County Medical Center SVG4","SMS20200290: SVG4","DR-300","SNEB1F53196C49","2024-05-17 19:07:37.187 UTC-06:00","false","2024-05-18 10:07:37.187000"
"TW ConnectionStatusDetection : **CMS** Henry County Medical Center SVG4 SMS20200290: SVG4","2024-05-18 11:24:59","2024-05-18 11:25:05.242000","**CMS** Henry County Medical Center SVG4","SMS20200290: SVG4","DR-300","SNEB1F53196C49","2024-05-17 20:24:57.503 UTC-06:00","true","2024-05-18 11:24:57.503000"
"TW ConnectionStatusDetection : **AMEN** Wyoming County Community Hospital FSX1","2024-05-20 06:15:19","2024-05-20 06:15:53.110000","**AMEN** Wyoming County Community Hospital FSX1","","FLUOROspeed.X1","SN120F53196C49","2024-05-19 16:15:17.750 UTC-05:00","true","2024-05-20 06:15:17.750000"
"TW ConnectionStatusDetection : **AIL** Southeastern OH Regional Medical Ctr SVG4 SMS20220023: SVG4","2024-05-20 06:15:13","2024-05-20 06:15:16.825000","**AIL** Southeastern OH Regional Medical Ctr SVG4","SMS20220023: SVG4","DR-300","SND48154A796C1","2024-05-19 16:15:11.176 UTC-05:00","true","2024-05-20 06:15:11.176000"
"TW ConnectionStatusDetection : **AIL** Yale Newhaven Health #2 SMS20220036: FSX1","2024-05-20 06:14:50","2024-05-20 06:14:55.240000","**AIL** Yale Newhaven Health #2","SMS20220036: FSX1","FLUOROspeed.X1","SNA83924A796C1","2024-05-19 16:14:48.477 UTC-05:00","true","2024-05-20 06:14:48.477000"
"TW ConnectionStatusDetection : **CMS** St Thomas Midtown Hospital SVG4 SMS20200361: SVG4","2024-05-20 06:14:47","2024-05-20 06:14:51.120000","**CMS** St Thomas Midtown Hospital SVG4","SMS20200361: SVG4","DR-300","SN381F53196C49","2024-05-19 15:14:45.170 UTC-06:00","true","2024-05-20 06:14:45.170000"
"TW ConnectionStatusDetection : **AIL** Yale Newhaven Health #1 SMS20220168: FSX1","2024-05-20 06:14:40","2024-05-20 06:14:45.584000","**AIL** Yale Newhaven Health #1","SMS20220168: FSX1","FLUOROspeed.X1","SN788154A796C1","2024-05-19 16:14:38.605 UTC-05:00","true","2024-05-20 06:14:38.605000"
"TW ConnectionStatusDetection : **AMEN** Main Street Radiology 5 SVG4 SMS20190046: SVG4","2024-05-20 06:14:40","2024-05-20 06:14:45.346000","**AMEN** Main Street Radiology 5 SVG4","SMS20190046: SVG4","DR-300","SNE5DF03196C49","2024-05-19 16:14:38.161 UTC-05:00","true","2024-05-20 06:14:38.161000"
"TW ConnectionStatusDetection : **AIL** Einstein Medical Center Montgomery SVG4 SMS20200001 : SVG4","2024-05-20 06:14:27","2024-05-20 06:14:31.588000","**AIL** Einstein Medical Center Montgomery SVG4","SMS20200001 : SVG4","DR-300","SNB30F53196C49","2024-05-19 16:14:25.664 UTC-05:00","true","2024-05-20 06:14:25.664000"
"TW ConnectionStatusDetection : **CMS** McLeod Health Cheraw FSX1 SMS20220038: FSX1","2024-05-20 06:14:25","2024-05-20 06:14:29.759000","**CMS** McLeod Health Cheraw FSX1","SMS20220038: FSX1","FLUOROspeed.X1","SN0F3924A796C1","2024-05-19 16:14:23.386 UTC-05:00","true","2024-05-20 06:14:23.386000"
"TW ConnectionStatusDetection : **AIL** Yale Newhaven Health #2 SMS20220036: FSX1","2024-05-20 06:07:39","2024-05-20 06:07:52.441000","**AIL** Yale Newhaven Health #2","SMS20220036: FSX1","FLUOROspeed.X1","SNA83924A796C1","2024-05-19 16:07:37.158 UTC-05:00","false","2024-05-20 06:07:37.158000"
"TW ConnectionStatusDetection : **CMS** St Thomas Midtown Hospital SVG4 SMS20200361: SVG4","2024-05-20 06:07:39","2024-05-20 06:07:52.307000","**CMS** St Thomas Midtown Hospital SVG4","SMS20200361: SVG4","DR-300","SN381F53196C49","2024-05-19 15:07:37.172 UTC-06:00","false","2024-05-20 06:07:37.172000"
"TW ConnectionStatusDetection : **AMEN** Wyoming County Community Hospital FSX1","2024-05-20 06:07:39","2024-05-20 06:07:52.025000","**AMEN** Wyoming County Community Hospital FSX1","","FLUOROspeed.X1","SN120F53196C49","2024-05-19 16:07:37.158 UTC-05:00","false","2024-05-20 06:07:37.158000"
"TW ConnectionStatusDetection : **AMEN** Main Street Radiology 5 SVG4 SMS20190046: SVG4","2024-05-20 06:07:39","2024-05-20 06:07:51.663000","**AMEN** Main Street Radiology 5 SVG4","SMS20190046: SVG4","DR-300","SNE5DF03196C49","2024-05-19 16:07:37.173 UTC-05:00","false","2024-05-20 06:07:37.173000"
"TW ConnectionStatusDetection : **AIL** Southeastern OH Regional Medical Ctr SVG4 SMS20220023: SVG4","2024-05-20 06:07:39","2024-05-20 06:07:51.619000","**AIL** Southeastern OH Regional Medical Ctr SVG4","SMS20220023: SVG4","DR-300","SND48154A796C1","2024-05-19 16:07:37.169 UTC-05:00","false","2024-05-20 06:07:37.169000"
"TW ConnectionStatusDetection : **AIL** Einstein Medical Center Montgomery SVG4 SMS20200001 : SVG4","2024-05-20 06:07:39","2024-05-20 06:07:51.596000","**AIL** Einstein Medical Center Montgomery SVG4","SMS20200001 : SVG4","DR-300","SNB30F53196C49","2024-05-19 16:07:37.171 UTC-05:00","false","2024-05-20 06:07:37.171000"
"TW ConnectionStatusDetection : **CMS** McLeod Health Cheraw FSX1 SMS20220038: FSX1","2024-05-20 06:07:39","2024-05-20 06:07:51.166000","**CMS** McLeod Health Cheraw FSX1","SMS20220038: FSX1","FLUOROspeed.X1","SN0F3924A796C1","2024-05-19 16:07:37.158 UTC-05:00","false","2024-05-20 06:07:37.158000"
"TW ConnectionStatusDetection : **AIL** Yale Newhaven Health #1 SMS20220168: FSX1","2024-05-20 06:07:39","2024-05-20 06:07:50.713000","**AIL** Yale Newhaven Health #1","SMS20220168: FSX1","FLUOROspeed.X1","SN788154A796C1","2024-05-19 16:07:37.158 UTC-05:00","false","2024-05-20 06:07:37.158000"
"TW ConnectionStatusDetection : **AIL** Salem Regional Medical Center SMS20230194: FSX1","2024-05-22 06:19:08","2024-05-22 06:19:11.845000","**AIL** Salem Regional Medical Center","SMS20230194: FSX1","FLUOROspeed.X1","SN01B255D23000","2024-05-21 16:19:05.892 UTC-05:00","true","2024-05-22 06:19:05.892000"
"TW ConnectionStatusDetection : **AIL** Salem Regional Medical Center SMS20230194: FSX1","2024-05-22 06:12:40","2024-05-22 06:12:43.434000","**AIL** Salem Regional Medical Center","SMS20230194: FSX1","FLUOROspeed.X1","SN01B255D23000","2024-05-21 16:12:37.156 UTC-05:00","false","2024-05-22 06:12:37.156000"
"TW ConnectionStatusDetection : **SNW** Mid-Valley Hospital SMS20230312: FSX1","2024-05-21 22:01:35","2024-05-21 22:01:39.398000","**SNW** Mid-Valley Hospital","SMS20230312: FSX1","FLUOROspeed.X1","SNEFDB65D23000","2024-05-21 05:00:26.138 UTC-08:00","true","2024-05-21 22:00:26.138000"
"TW ConnectionStatusDetection : **SNW** Mid-Valley Hospital SMS20230312: FSX1","2024-05-21 21:57:42","2024-05-21 21:57:46.795000","**SNW** Mid-Valley Hospital","SMS20230312: FSX1","FLUOROspeed.X1","SNEFDB65D23000","2024-05-21 04:57:37.157 UTC-08:00","false","2024-05-21 21:57:37.157000"
"TW ConnectionStatusDetection : **SNW** Mid-Valley Hospital SMS20230312: FSX1","2024-05-21 21:47:42","2024-05-21 21:47:46.483000","**SNW** Mid-Valley Hospital","SMS20230312: FSX1","FLUOROspeed.X1","SNEFDB65D23000","2024-05-21 04:47:37.686 UTC-08:00","true","2024-05-21 21:47:37.686000"
"TW ConnectionStatusDetection : **SNW** Mid-Valley Hospital SMS20230312: FSX1","2024-05-21 21:27:40","2024-05-21 21:27:47.285000","**SNW** Mid-Valley Hospital","SMS20230312: FSX1","FLUOROspeed.X1","SNEFDB65D23000","2024-05-21 04:27:37.157 UTC-08:00","false","2024-05-21 21:27:37.157000"
"TW ConnectionStatusDetection : **SMS** RSTI Trinias SMS RSTI Trinias","2024-05-22 17:12:47","2024-05-22 17:12:52.764000","**SMS** RSTI Trinias","SMS RSTI Trinias ","Trinias","SN0D1670F54000","2024-05-22 03:12:44.598 UTC-05:00","true","2024-05-22 17:12:44.598000"
"TW ConnectionStatusDetection : **SMS** RSTI SVG4  SMS20219999: SVG4","2024-05-22 17:12:44","2024-05-22 17:12:48.833000","**SMS** RSTI SVG4 ","SMS20219999: SVG4 ","DR-300","SNLMDE76197007","2024-05-22 03:12:42.213 UTC-05:00","true","2024-05-22 17:12:42.213000"
"TW ConnectionStatusDetection : **SMS** RSTI SVG4  SMS20219999: SVG4","2024-05-22 17:12:40","2024-05-22 17:12:46.208000","**SMS** RSTI SVG4 ","SMS20219999: SVG4 ","DR-300","SNLMDE76197007","2024-05-22 03:12:37.174 UTC-05:00","false","2024-05-22 17:12:37.174000"
"TW ConnectionStatusDetection : **SMS** RSTI Trinias SMS RSTI Trinias","2024-05-22 17:12:40","2024-05-22 17:12:44.928000","**SMS** RSTI Trinias","SMS RSTI Trinias ","Trinias","SN0D1670F54000","2024-05-22 03:12:37.312 UTC-05:00","false","2024-05-22 17:12:37.312000"
"TW ConnectionStatusDetection : **EDS** Pana Community Hospital SMS20220281: FSX1","2024-05-23 08:50:40","2024-05-23 08:50:44.119000","**EDS** Pana Community Hospital","SMS20220281: FSX1","FLUOROspeed.X1","SN004715D23000","2024-05-22 23:50:37.809 UTC +00:00","true","2024-05-23 08:50:37.809000"
"TW ConnectionStatusDetection : **COMP** COBRE VALLEY REG. MED. CTR SMS20230138: FSX1","2024-05-23 08:52:43","2024-05-23 08:52:47.914000","**COMP** COBRE VALLEY REG. MED. CTR","SMS20230138: FSX1","FLUOROspeed.X1","SN47C545D23000","2024-05-22 23:52:41.256 UTC +00:00","true","2024-05-23 08:52:41.256000"
"TW ConnectionStatusDetection : **SNW** Evergreen Health Monroe Medical Center SMS20240103: FSX1","2024-05-23 08:54:38","2024-05-23 08:54:47.102000","**SNW** Evergreen Health Monroe Medical Center","SMS20240103: FSX1","FLUOROspeed.X1","SNA7D675D23000","2024-05-22 23:54:35.264 UTC +00:00","true","2024-05-23 08:54:35.264000"
"TW ConnectionStatusDetection : **CMS** SELF REGIONAL HEALTHCARE SMS20230230: TRINIAS","2024-05-23 08:56:11","2024-05-23 08:56:18.356000","**CMS** SELF REGIONAL HEALTHCARE","SMS20230230: TRINIAS","Trinias","SNCDB255D23000","2024-05-22 23:56:08.044 UTC +00:00","true","2024-05-23 08:56:08.044000"
"TW ConnectionStatusDetection : **EDS** Clay County Hospital SMS20240071: FSX1","2024-05-23 08:57:50","2024-05-23 08:57:54.158000","**EDS** Clay County Hospital","SMS20240071: FSX1","FLUOROspeed.X1","SNAEA255D23000","2024-05-22 23:57:47.456 UTC +00:00","true","2024-05-23 08:57:47.456000"
"TW ConnectionStatusDetection : **AMEN** Wyoming County Community Hospital FSX1","2024-05-23 18:57:42","2024-05-23 18:57:46.883000","**AMEN** Wyoming County Community Hospital FSX1","","FLUOROspeed.X1","SN120F53196C49","2024-05-23 04:57:37.158 UTC-05:00","false","2024-05-23 18:57:37.158000"
"TW ConnectionStatusDetection : **AMEN** Wyoming County Community Hospital FSX1","2024-05-23 21:03:50","2024-05-23 21:03:55.016000","**AMEN** Wyoming County Community Hospital FSX1","","FLUOROspeed.X1","SN120F53196C49","2024-05-23 07:03:45.942 UTC-05:00","true","2024-05-23 21:03:45.942000"
"TW ConnectionStatusDetection : **AMEN** Wyoming County Community Hospital FSX1","2024-05-23 20:17:42","2024-05-23 20:17:49.061000","**AMEN** Wyoming County Community Hospital FSX1","","FLUOROspeed.X1","SN120F53196C49","2024-05-23 06:17:37.158 UTC-05:00","false","2024-05-23 20:17:37.158000"
"TW ConnectionStatusDetection : **AMEN** Wyoming County Community Hospital FSX1","2024-05-23 19:41:44","2024-05-23 19:41:48.139000","**AMEN** Wyoming County Community Hospital FSX1","","FLUOROspeed.X1","SN120F53196C49","2024-05-23 05:41:40.913 UTC-05:00","true","2024-05-23 19:41:40.913000"
"TW ConnectionStatusDetection : **SMS** RSTI Trinias SMS RSTI Trinias","2024-05-28 08:12:22","2024-05-28 08:12:26.488000","**SMS** RSTI Trinias","SMS RSTI Trinias ","Trinias","SN0D1670F54000","2024-05-27 18:12:20.291 UTC-05:00","true","2024-05-28 08:12:20.291000"
"TW ConnectionStatusDetection : **SMS** RSTI Trinias SMS RSTI Trinias","2024-05-28 01:22:40","2024-05-28 01:22:46.542000","**SMS** RSTI Trinias","SMS RSTI Trinias ","Trinias","SN0D1670F54000","2024-05-27 11:22:37.588 UTC-05:00","false","2024-05-28 01:22:37.588000"
"TW ConnectionStatusDetection : **SNW** Mid-Valley Hospital SMS20230312: FSX1","2024-05-27 22:13:34","2024-05-27 22:13:39.566000","**SNW** Mid-Valley Hospital","SMS20230312: FSX1","FLUOROspeed.X1","SNEFDB65D23000","2024-05-27 05:13:29.428 UTC-08:00","true","2024-05-27 22:13:29.428000"
"TW ConnectionStatusDetection : **SMS** RSTI SVG4  SMS20219999: SVG4","2024-05-27 21:27:43","2024-05-27 21:27:47.970000","**SMS** RSTI SVG4 ","SMS20219999: SVG4 ","DR-300","SNLMDE76197007","2024-05-27 07:27:37.185 UTC-05:00","false","2024-05-27 21:27:37.185000"
"TW ConnectionStatusDetection : **SNW** Mid-Valley Hospital SMS20230312: FSX1","2024-05-27 21:07:43","2024-05-27 21:07:47.776000","**SNW** Mid-Valley Hospital","SMS20230312: FSX1","FLUOROspeed.X1","SNEFDB65D23000","2024-05-27 04:07:37.162 UTC-08:00","false","2024-05-27 21:07:37.162000"
"TW ConnectionStatusDetection : **CMS** McLeod Health Cheraw FSX1 SMS20220038: FSX1","2024-05-29 08:02:20","2024-05-29 08:02:24.537000","**CMS** McLeod Health Cheraw FSX1","SMS20220038: FSX1","FLUOROspeed.X1","SN0F3924A796C1","2024-05-28 18:02:18.583 UTC-05:00","true","2024-05-29 08:02:18.583000"
"TW ConnectionStatusDetection : **CMS** McLeod Health Cheraw FSX1 SMS20220038: FSX1","2024-05-29 07:57:40","2024-05-29 07:57:43.791000","**CMS** McLeod Health Cheraw FSX1","SMS20220038: FSX1","FLUOROspeed.X1","SN0F3924A796C1","2024-05-28 17:57:37.164 UTC-05:00","false","2024-05-29 07:57:37.164000"
"TW ConnectionStatusDetection : **CIS** William Bee Ririe Hospital SVG4 SMS20220234: SVG4","2024-05-29 04:49:49","2024-05-29 04:49:54.931000","**CIS** William Bee Ririe Hospital SVG4","SMS20220234: SVG4","DR-300","SN938154A796C1","2024-05-28 11:49:47.102 UTC-08:00","true","2024-05-29 04:49:47.102000"
"TW ConnectionStatusDetection : **CIS** William Bee Ririe Hospital SVG4 SMS20220234: SVG4","2024-05-29 04:47:40","2024-05-29 04:47:44.323000","**CIS** William Bee Ririe Hospital SVG4","SMS20220234: SVG4","DR-300","SN938154A796C1","2024-05-28 11:47:37.228 UTC-08:00","false","2024-05-29 04:47:37.228000"
"TW ConnectionStatusDetection : **AMEN** Wyoming County Community Hospital FSX1","2024-05-29 00:50:00","2024-05-29 00:50:10.234000","**AMEN** Wyoming County Community Hospital FSX1","","FLUOROspeed.X1","SN120F53196C49","2024-05-28 10:49:57.824 UTC-05:00","true","2024-05-29 00:49:57.824000"
"TW ConnectionStatusDetection : **AMEN** Wyoming County Community Hospital FSX1","2024-05-28 23:27:40","2024-05-28 23:27:44.728000","**AMEN** Wyoming County Community Hospital FSX1","","FLUOROspeed.X1","SN120F53196C49","2024-05-28 09:27:37.164 UTC-05:00","false","2024-05-28 23:27:37.164000"
"TW ConnectionStatusDetection : **COMP** COBRE VALLEY REG. MED. CTR SMS20230138: FSX1","2024-05-30 00:32:44","2024-05-30 00:32:47.968000","**COMP** COBRE VALLEY REG. MED. CTR","SMS20230138: FSX1","FLUOROspeed.X1","SN47C545D23000","2024-05-29 08:32:25.525 UTC-07:00","true","2024-05-30 00:32:25.525000"
"TW ConnectionStatusDetection : **COMP** COBRE VALLEY REG. MED. CTR SMS20230138: FSX1","2024-05-29 22:52:42","2024-05-29 22:52:49.525000","**COMP** COBRE VALLEY REG. MED. CTR","SMS20230138: FSX1","FLUOROspeed.X1","SN47C545D23000","2024-05-29 06:52:37.163 UTC-07:00","false","2024-05-29 22:52:37.163000"
"TW ConnectionStatusDetection : **AIL** Holzer Medical Center SMS20230091: TRINIAS","2024-05-30 09:35:47","2024-05-30 09:35:50.342000","**AIL** Holzer Medical Center","SMS20230091: TRINIAS","Trinias","SN63F855D23000","2024-05-29 19:35:44.868 UTC-05:00","true","2024-05-30 09:35:44.868000"
"TW ConnectionStatusDetection : **AIL** Yale Newhaven Health #2 SMS20220036: FSX1","2024-05-30 11:42:40","2024-05-30 11:42:46.603000","**AIL** Yale Newhaven Health #2","SMS20220036: FSX1","FLUOROspeed.X1","SNA83924A796C1","2024-05-29 21:42:37.166 UTC-05:00","false","2024-05-30 11:42:37.166000"
"TW ConnectionStatusDetection : **SNW** CABINET PEAKS MEDICAL CENTER SMS20230130: FSX1","2024-05-30 11:42:40","2024-05-30 11:42:46.429000","**SNW** CABINET PEAKS MEDICAL CENTER","SMS20230130: FSX1","FLUOROspeed.X1","SN077D65D23000","2024-05-29 19:42:37.164 UTC-07:00","false","2024-05-30 11:42:37.164000"
"TW ConnectionStatusDetection : **AIL** Yale Newhaven Health #2 SMS20220036: FSX1","2024-05-30 11:44:39","2024-05-30 11:44:45.979000","**AIL** Yale Newhaven Health #2","SMS20220036: FSX1","FLUOROspeed.X1","SNA83924A796C1","2024-05-29 21:44:36.593 UTC-05:00","true","2024-05-30 11:44:36.593000"
"TW ConnectionStatusDetection : **SNW** CABINET PEAKS MEDICAL CENTER SMS20230130: FSX1","2024-05-30 11:55:00","2024-05-30 11:55:04.875000","**SNW** CABINET PEAKS MEDICAL CENTER","SMS20230130: FSX1","FLUOROspeed.X1","SN077D65D23000","2024-05-29 19:54:58.352 UTC-07:00","true","2024-05-30 11:54:58.352000"
"TW ConnectionStatusDetection : **SNW** CABINET PEAKS MEDICAL CENTER SMS20230130: FSX1","2024-05-30 12:02:40","2024-05-30 12:02:47.941000","**SNW** CABINET PEAKS MEDICAL CENTER","SMS20230130: FSX1","FLUOROspeed.X1","SN077D65D23000","2024-05-29 20:02:37.163 UTC-07:00","false","2024-05-30 12:02:37.163000"
"TW ConnectionStatusDetection : **EDS** Clay County Hospital SMS20240071: FSX1","2024-05-30 12:02:40","2024-05-30 12:02:46.622000","**EDS** Clay County Hospital","SMS20240071: FSX1","FLUOROspeed.X1","SNAEA255D23000","2024-05-30 12:02:37.164 UTC+09:00","false","2024-05-30 12:02:37.164000"
"TW ConnectionStatusDetection : **EDS** Clay County Hospital SMS20240071: FSX1","2024-05-30 12:04:10","2024-05-30 12:04:14.335000","**EDS** Clay County Hospital","SMS20240071: FSX1","FLUOROspeed.X1","SNAEA255D23000","2024-05-30 12:04:08.212 UTC+09:00","true","2024-05-30 12:04:08.212000"
"TW ConnectionStatusDetection : **CMS** SELF REGIONAL HEALTHCARE SMS20230230: TRINIAS","2024-05-30 12:07:40","2024-05-30 12:07:43.684000","**CMS** SELF REGIONAL HEALTHCARE","SMS20230230: TRINIAS","Trinias","SNCDB255D23000","2024-05-29 22:07:37.629 UTC-05:00","false","2024-05-30 12:07:37.629000"
"TW ConnectionStatusDetection : **CMS** SELF REGIONAL HEALTHCARE SMS20230230: TRINIAS","2024-05-30 12:08:11","2024-05-30 12:08:14.833000","**CMS** SELF REGIONAL HEALTHCARE","SMS20230230: TRINIAS","Trinias","SNCDB255D23000","2024-05-29 22:08:09.244 UTC-05:00","true","2024-05-30 12:08:09.244000"
"TW ConnectionStatusDetection : **BMI** Medical Associates Clinic SVG4 SMS20170265: SVG4","2024-05-30 12:17:59","2024-05-30 12:18:05.613000","**BMI** Medical Associates Clinic SVG4","SMS20170265: SVG4","DR-300","SNCD1670F54000","2024-05-29 21:17:37.462 UTC-06:00","false","2024-05-30 12:17:37.462000"
"TW ConnectionStatusDetection : **BMI** Medical Associates Clinic SVG4 SMS20170265: SVG4","2024-05-30 12:18:45","2024-05-30 12:18:52.423000","**BMI** Medical Associates Clinic SVG4","SMS20170265: SVG4","DR-300","SNCD1670F54000","2024-05-29 21:18:42.821 UTC-06:00","true","2024-05-30 12:18:42.821000"
"TW ConnectionStatusDetection : **BMI** Winneshiek Medical Center FSX1 SMS20220054: FSX1","2024-05-30 12:27:58","2024-05-30 12:28:02.050000","**BMI** Winneshiek Medical Center FSX1","SMS20220054: FSX1","FLUOROspeed.X1","SN643924A796C1","2024-05-29 21:27:56.733 UTC-06:00","true","2024-05-30 12:27:56.733000"
"TW ConnectionStatusDetection : **BMI** Winneshiek Medical Center FSX1 SMS20220054: FSX1","2024-05-30 12:27:40","2024-05-30 12:27:52.062000","**BMI** Winneshiek Medical Center FSX1","SMS20220054: FSX1","FLUOROspeed.X1","SN643924A796C1","2024-05-29 21:27:37.165 UTC-06:00","false","2024-05-30 12:27:37.165000"
"TW ConnectionStatusDetection : **CMS** SELF REGIONAL HEALTHCARE SMS20230230: TRINIAS","2024-05-30 12:27:46","2024-05-30 12:27:51.729000","**CMS** SELF REGIONAL HEALTHCARE","SMS20230230: TRINIAS","Trinias","SNCDB255D23000","2024-05-29 22:27:44.656 UTC-05:00","true","2024-05-30 12:27:44.656000"
"TW ConnectionStatusDetection : **CMS** SELF REGIONAL HEALTHCARE SMS20230230: TRINIAS","2024-05-30 12:27:40","2024-05-30 12:27:48.652000","**CMS** SELF REGIONAL HEALTHCARE","SMS20230230: TRINIAS","Trinias","SNCDB255D23000","2024-05-29 22:27:37.624 UTC-05:00","false","2024-05-30 12:27:37.624000"
"TW ConnectionStatusDetection : **AIL** Southeastern OH Regional Medical Ctr SVG4 SMS20220023: SVG4","2024-05-30 12:32:40","2024-05-30 12:32:44.598000","**AIL** Southeastern OH Regional Medical Ctr SVG4","SMS20220023: SVG4","DR-300","SND48154A796C1","2024-05-29 22:32:37.228 UTC-05:00","false","2024-05-30 12:32:37.228000"
